t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
931.515,1,1,0,-2,-1,-2,-2,-1
952.906,-1,0,0,-2,2,0,0,-1
952.906,-1,0,0,0,2,-1,0,0
954.127,-2,0,-2,-1,-1,-1,1,-1
954.127,-2,0,-2,0,0,1,0,-1
967.817,3,0,0,-3,-3,1,-2,0
967.817,-2,-2,-2,-2,0,1,0,0
968.867,-1,-2,0,2,-1,1,0,-1
968.867,-3,-6,2,1,0,0,-2,2
990.218,0,-1,6,0,2,0,-2,-1
990.218,-1,0,-2,1,-1,-1,2,1
991.23,-2,0,-4,0,0,0,2,0
991.23,-1,-5,6,3,-1,-1,1,0
1012.611,0,0,1,-1,0,-1,0,-1
1012.611,-1,-1,0,0,0,-1,0,-2
1013.611,-1,-3,-4,-2,-1,-2,0,-1
1013.611,1,2,-3,-1,-2,2,1,0
1027.118,-1,-1,5,2,1,1,-2,-1
1027.118,1,-4,0,0,2,1,1,1
1029.177,-1,-5,0,0,-1,0,1,1
1029.177,0,3,0,-1,-1,-1,0,0
1048.826,-1,1,0,0,-2,0,0,-1
1048.826,-1,0,-2,-1,-3,0,1,-2
1057.27,0,-1,-1,0,1,0,0,0
1057.27,-4,-7,3,-1,2,2,-1,0
1071.505,0,1,-2,-1,1,-1,-1,0
1071.505,1,0,1,0,0,0,2,1
1074.112,0,-1,-1,0,0,0,-1,0
1074.112,-1,2,-1,-1,-1,0,-1,0
1086.57,-1,-3,-3,1,-1,0,0,1
1086.57,0,0,0,1,-1,-1,0,1
1093.547,1,-1,-1,-2,-1,0,0,-1
1093.547,-1,2,0,0,1,0,0,-1
1109.87,0,0,2,-1,-2,1,-4,-1
1109.87,0,0,-4,0,-1,-1,-1,-2
1110.893,-1,0,-1,0,0,-2,0,0
1110.893,1,2,-3,-2,0,-3,0,-2
1132.082,0,-1,-1,0,0,-1,2,0
1132.082,-1,-1,0,0,-1,-1,-1,-1
1134.081,0,2,1,0,0,1,-2,-2
1134.081,0,0,0,-1,0,-1,-1,-1
1154.979,-2,0,-1,-1,-2,-2,1,0
1154.979,0,1,-3,-3,-2,0,0,0
1156.334,-1,1,0,-1,-1,0,1,1
1156.334,0,1,-7,-2,-1,0,-1,-2
1177.971,2,-6,6,1,0,0,0,0
1177.971,0,0,-1,0,-1,-1,0,-2
1179.043,1,1,1,-2,-1,-2,0,-1
1179.043,1,1,-1,0,0,-1,0,-2
1192.766,-1,1,-7,-4,-3,1,-1,-3
1192.766,-1,-8,8,5,2,2,0,-1
1193.763,1,0,0,-1,1,-2,0,0
1193.763,0,0,1,0,-2,0,-1,-1
1215.224,-2,0,-2,0,0,0,-1,2
1215.224,-1,-1,0,-1,0,-2,-1,0
1216.232,-2,1,-1,-1,-1,0,-1,1
1216.232,0,0,0,1,0,-2,-1,1
1228.975,1,0,3,1,-2,1,1,-1
