pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
417,1205,4,24,0,10,27,26,3,8
418,1206,3,23,1,8,32,19,5,6
418,1206,-5,1,-2,-13,26,-4,-8,-10
432,1220,-1,22,-1,0,49,15,7,-2
432,1220,3,24,-1,2,28,25,-1,10
433,1221,2,23,-2,10,32,19,5,6
433,1221,-7,-2,0,-9,23,-4,-12,-13
445,1233,1,21,-2,0,52,18,7,-2
445,1233,2,27,0,5,27,24,5,7
454,1242,3,23,4,11,32,20,3,5
454,1242,-6,2,-1,-18,26,0,-11,-14
468,1257,0,23,-1,2,61,19,6,-2
468,1257,3,26,0,6,30,23,2,10
477,1265,4,25,0,8,33,20,7,6
477,1265,-7,4,-2,-11,25,0,-10,-14
492,1280,0,21,0,-1,52,17,7,-2
492,1280,3,26,0,11,29,23,2,9
493,1281,2,26,2,11,31,22,6,5
493,1281,-6,2,-2,-14,23,0,-9,-16
506,1293,1,21,-2,-2,51,18,8,-2
506,1293,0,25,0,3,26,25,0,6
514,1302,3,26,2,15,30,22,3,6
514,1302,-5,3,-4,-15,28,0,-10,-18
530,1318,-2,21,2,9,50,17,8,-2
530,1318,3,24,-1,4,29,23,3,9
535,1324,4,26,0,5,29,23,6,7
535,1324,-5,2,-4,-10,27,1,-12,-19
552,1339,0,21,-2,3,46,18,11,-2
552,1339,2,22,0,7,25,23,7,7
553,1341,3,25,5,12,29,22,4,6
553,1341,-6,7,-1,-16,26,1,-9,-18
566,1353,5,20,-1,5,48,17,6,-2
566,1353,2,22,1,15,30,23,1,11
574,1362,4,25,-4,13,27,22,7,6
574,1362,-6,9,0,-15,29,2,-12,-21
597,1385,-2,23,1,3,45,19,6,-2
597,1385,3,21,3,9,25,23,2,13
598,1386,5,25,-1,8,30,23,5,5
598,1386,-8,11,-2,-9,26,2,-12,-21
618,1406,0,21,3,4,46,17,9,-2
618,1406,3,21,-1,-3,29,21,5,10
627,1415,2,26,1,6,28,23,5,5
627,1415,-5,13,-4,-15,27,5,-8,-21
628,1416,3,19,-2,5,45,16,7,-2
628,1416,4,21,1,8,29,21,3,10
634,1422,5,25,-3,11,28,22,2,4
634,1422,-7,14,-1,-19,23,7,-9,-22
649,1437,2,21,3,-1,57,17,10,-2
649,1437,0,21,0,5,29,20,1,9
651,1438,4,24,-1,9,29,22,4,4
651,1438,-4,16,-2,-11,26,9,-8,-23
672,1460,2,26,0,7,59,17,7,-1
672,1460,1,20,0,3,31,19,3,8
673,1462,4,24,-1,7,24,21,3,4
673,1462,-5,15,-3,-10,24,11,-10,-22
694,1482,3,29,3,3,58,25,7,-2
694,1482,3,20,-4,6,29,19,3,11
696,1484,1,25,0,5,24,22,0,4
696,1484,-8,17,0,-8,24,13,-7,-18
709,1497,1,34,0,11,54,21,9,-1
709,1497,2,21,-2,2,32,18,2,7
711,1498,2,24,-1,-5,19,21,4,3
711,1498,-8,17,-1,-12,24,13,-10,-24
732,1519,5,33,-1,7,51,26,8,-1
732,1519,2,20,1,11,30,18,1,10
733,1520,2,25,-1,11,17,21,1,3
733,1520,-7,18,-2,-14,22,14,-9,-23
754,1542,2,35,1,2,49,27,4,-1
754,1542,2,21,0,6,31,18,3,9
756,1544,4,24,1,9,27,22,0,4
756,1544,-6,18,1,-13,23,14,-11,-21
769,1558,3,32,-1,2,52,27,7,-2
769,1558,1,21,6,5,33,18,1,8
771,1559,3,24,0,9,17,22,-1,4
771,1559,-5,18,-1,-11,22,14,-7,-20
792,1581,2,33,-1,7,50,28,6,-2
792,1581,3,21,0,5,28,19,2,9
794,1582,-1,23,-2,5,20,21,-1,3
794,1582,-7,18,0,-13,25,14,-8,-18
814,1602,2,33,-3,4,48,27,6,0
814,1602,2,20,-3,6,32,18,3,11
822,1609,2,23,1,9,15,21,-1,3
822,1609,-7,18,-4,-12,23,15,-8,-21
829,1616,2,37,3,0,56,31,6,-1
829,1616,3,21,1,9,30,18,0,9
831,1619,1,22,2,7,17,20,-1,4
831,1619,-3,19,-3,-22,22,15,-9,-17
852,1639,2,33,-1,8,38,30,6,-1
852,1639,1,20,2,4,32,18,5,10
853,1641,2,21,1,7,14,21,0,4
853,1641,-6,18,-3,-10,23,15,-7,-18
874,1662,4,37,3,4,37,29,9,-2
874,1662,4,21,2,9,30,18,2,9
876,1663,1,21,0,3,15,19,-2,4
876,1663,-7,19,-3,-15,23,15,-8,-21
888,1676,2,36,-4,6,53,30,2,-1
888,1676,0,20,1,13,31,18,2,8
895,1683,3,21,2,5,18,19,-3,4
