t_center_ms,fs_hz,angle_src,mav0,mav1,mav2,mav3,mav4,mav5,mav6,mav7,rms0,rms1,rms2,rms3,rms4,rms5,rms6,rms7,zc0,zc1,zc2,zc3,zc4,zc5,zc6,zc7,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,env_mean0,env_mean1,env_mean2,env_mean3,env_mean4,env_mean5,env_mean6,env_mean7,roll_mean_deg,roll_std_deg,roll_slope_degps,pitch_mean_deg,pitch_std_deg,pitch_slope_degps,imu_match_ratio
0.000000,94.851707,EKF,0.651390,1.831449,0.744521,0.785607,4.389037,1.883269,0.499080,0.765948,0.801277,2.203788,0.841183,0.970866,5.181687,2.427651,0.716152,0.957432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.549387,25.323390,10.511296,9.391935,48.702745,30.731026,8.292155,8.257195,1.424150,2.391986,0.607912,1.055238,4.978127,2.122459,0.688422,1.682985,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.110220,2.182100,0.523703,0.842389,3.875972,2.020254,0.494752,0.996330,1.320324,2.630750,0.725647,1.025422,4.566150,2.357649,0.644949,1.159717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.928429,27.125314,8.539157,10.248876,49.437556,23.922889,6.914658,10.934220,1.258895,2.329304,0.732187,1.058112,4.970050,2.265888,0.748698,1.418060,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,1.309996,2.116941,0.507913,0.560707,4.141255,1.987072,0.441255,1.162620,1.577485,2.610536,0.669524,0.693929,4.806742,2.341643,0.474865,1.498998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.923856,25.837111,6.026174,6.753864,47.572311,22.552095,4.949027,16.408779,1.223459,2.382232,0.759390,0.966918,4.757968,2.284260,0.714592,1.194913,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.948004,1.924242,0.401470,0.683504,3.324678,1.861316,0.391116,1.385561,1.176529,2.411054,0.441808,0.787760,4.155050,2.194712,0.517148,1.657072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.380755,29.657103,3.577736,7.551539,43.437542,24.679406,5.916449,16.891126,1.397151,2.444515,0.657444,0.875721,4.586702,2.194834,0.618975,1.295793,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.614722,1.636202,0.564741,0.820623,3.660346,1.986465,0.559923,1.377772,0.784235,2.084071,0.621828,0.882057,4.810027,2.303419,0.716264,1.555784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.690211,24.017798,8.279933,11.013612,42.963208,25.874841,7.904908,16.420278,1.345671,2.387829,0.570994,0.826261,4.335417,2.189037,0.605160,1.504597,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.703309,1.895519,0.681073,0.647578,3.416303,2.321384,0.591011,1.094646,0.835435,2.069023,0.778147,0.721743,4.311886,2.489263,0.686478,1.355344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.457760,19.724308,10.405275,9.755244,38.154996,23.397272,6.477943,15.529710,1.062631,2.257359,0.576703,0.822224,4.325764,2.316608,0.630250,1.564716,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.881296,2.027947,0.535310,0.656979,3.573894,2.155309,0.620471,0.702429,0.952273,2.118886,0.663013,0.827381,3.980166,2.290824,0.690677,0.903482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.373227,19.134195,8.087408,8.626157,36.802103,22.591462,6.248988,9.408602,0.867048,2.131669,0.663001,0.793517,4.325352,2.349208,0.674327,1.379385,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.849868,1.561079,0.353611,0.898680,3.727121,1.918469,0.500050,1.195503,0.913238,1.694020,0.442666,1.139135,4.678056,2.077375,0.564051,1.361252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.546321,17.680060,4.061492,13.969930,49.528207,22.122841,5.335782,12.381939,0.838241,1.981001,0.649762,0.836275,4.526648,2.310120,0.664612,1.174212,13.298000,0.000000,,1.971000,0.000000,,1.000000
0.000000,94.851707,EKF,0.782989,1.814419,0.376674,0.858137,4.385328,2.202692,0.369853,1.241209,0.887040,1.984904,0.445959,1.127264,5.489104,2.352912,0.399922,1.527041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.226569,21.959220,4.539558,12.552216,42.397753,22.553923,3.043833,16.011567,0.873108,1.915753,0.549669,0.989969,4.597764,2.238077,0.592004,1.238479,13.298000,0.000000,,1.971000,0.000000,,1.000000
10.000000,94.851707,EKF,0.421965,2.267651,0.397344,0.880236,5.802644,2.093940,0.773506,1.045491,0.557527,2.464379,0.474532,1.008195,7.257572,2.413731,0.882653,1.392435,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6.485080,23.463915,3.246667,9.055630,75.218049,25.464547,6.860268,12.855089,0.798578,1.983107,0.446728,1.067494,5.221254,2.314766,0.625768,1.422857,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
24.000000,94.851707,EKF,0.427693,2.138772,0.575197,0.853768,5.450310,1.819290,0.842946,0.835586,0.562625,2.431725,0.633430,0.924027,6.866316,2.203275,0.914268,1.060235,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,6.576379,22.199974,4.466380,9.453550,65.968799,19.220856,7.860568,10.336661,0.710402,2.220865,0.470454,1.002272,6.140215,2.305931,0.757878,1.405964,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
43.500000,94.851707,EKF,0.552882,1.597092,0.828745,0.830149,3.874020,1.762720,0.469025,1.019175,0.638988,1.767260,0.875372,0.920356,4.726009,2.110071,0.554255,1.238271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.146515,16.930951,7.398282,9.470806,47.826406,20.941996,5.331741,12.029176,0.628440,2.252645,0.604742,0.906325,6.511046,2.221169,0.817458,1.228814,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
65.500000,94.851707,EKF,0.596012,1.842370,0.746568,0.601104,5.278886,2.027402,0.467169,0.979147,0.727284,2.074574,0.876610,0.773194,6.346166,2.164725,0.565556,1.132550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.972996,22.093350,9.397674,7.741775,61.909257,19.545814,4.689002,12.888609,0.647414,2.140451,0.756097,0.882202,6.174781,2.095284,0.714465,1.148433,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
102.000000,94.851707,EKF,1.106062,1.379573,0.479742,0.565877,4.359988,1.644907,0.481708,0.773978,1.296463,1.578156,0.662771,0.684588,5.414798,1.754881,0.589633,0.913892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.633637,16.911100,6.438954,7.212765,58.966055,17.015182,5.389844,11.040684,0.870213,1.973148,0.802582,0.823630,5.655579,2.043582,0.576505,1.100878,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
121.000000,94.851707,EKF,1.119550,1.794973,0.470195,0.579279,4.216142,1.607399,0.346209,0.882701,1.270991,1.930152,0.578670,0.632972,5.530530,1.837235,0.403119,0.994821,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,10.214888,17.797828,6.981215,6.115630,51.622171,16.079514,4.662287,10.434723,1.148895,1.874300,0.740290,0.719498,5.580562,1.890354,0.538790,1.011781,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
144.500000,94.851707,EKF,0.827270,1.847681,0.513044,0.568530,6.046149,1.819005,0.710683,1.193830,0.950343,2.037499,0.576613,0.618081,7.259372,2.164961,0.910341,1.360551,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,9.546196,20.272883,7.815370,5.769958,77.257181,22.525570,9.428208,14.258296,1.242122,1.864706,0.640821,0.639375,6.043418,1.863984,0.588254,1.024898,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
172.500000,94.851707,EKF,0.890498,1.820238,0.450306,0.460519,5.884238,1.918254,0.695986,1.343755,1.059154,2.065469,0.503165,0.521734,7.138813,2.166546,0.931829,1.633155,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,13.987718,20.417563,5.776100,5.648579,72.138095,19.784326,10.133184,16.362658,1.155766,1.968020,0.577510,0.599980,6.725936,2.038883,0.720634,1.261985,13.298000,0.000000,0.000000,1.971000,0.000000,0.000000,1.000000
210.000000,94.851707,EKF,1.116073,1.688966,0.409658,0.384762,4.004249,1.456244,0.512399,0.979015,1.197240,2.007479,0.483293,0.435803,4.636339,1.656686,0.655343,1.306528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.123518,22.111946,5.124727,4.378446,50.095467,16.410863,8.163090,12.180264,1.066542,2.042379,0.549856,0.549724,6.693559,2.099326,0.815213,1.410853,13.230556,0.064153,-6.653846,2.108333,0.134033,14.000000,1.000000
222.500000,94.851707,EKF,0.992339,1.969127,0.494963,0.661600,4.479403,1.875321,0.527638,1.309743,1.055412,2.214495,0.588833,0.950783,5.335361,2.050129,0.654430,1.547513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.259954,22.133366,7.465117,9.586639,55.852644,20.752287,5.992482,15.900858,1.064771,2.088998,0.520495,0.565683,5.806921,1.998039,0.779616,1.459674,13.137889,0.035946,-2.466667,2.310222,0.085269,6.155556,1.000000
245.500000,94.851707,EKF,1.351938,1.552560,0.534192,1.167993,5.630066,1.828770,0.512443,1.230381,1.625925,1.885502,0.608570,1.404512,6.605235,1.887834,0.655476,1.407646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.306311,19.809213,7.494543,15.772430,72.624590,17.240460,7.653834,15.457746,1.206793,2.090715,0.543026,0.841511,5.544481,1.917258,0.690699,1.442801,13.093889,0.018988,-1.155556,2.417333,0.049318,3.000000,1.000000
264.500000,94.851707,EKF,1.088964,1.900995,0.611892,1.251229,6.531777,1.731547,0.608007,0.951728,1.495010,2.189669,0.734870,1.358546,7.773826,2.025729,0.720728,1.100144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.029888,21.533407,6.832090,11.966223,71.778001,17.135160,6.247458,11.191454,1.370316,2.080708,0.638883,1.186921,6.308842,1.922560,0.688341,1.397826,13.070000,0.010198,-0.891892,2.483444,0.030496,2.540541,1.000000
301.500000,94.851707,EKF,0.966341,1.527256,0.454039,0.735912,5.913816,1.278381,0.819272,0.861646,1.187096,1.797356,0.576936,0.809166,6.787256,1.666334,1.067915,1.072486,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,15.169872,19.239086,4.262043,7.160534,69.259063,15.827085,9.554537,12.360046,1.413631,1.999600,0.686413,1.258118,6.890933,1.894834,0.827528,1.292424,13.069222,0.007828,0.594595,2.532778,0.017812,0.810811,1.000000
350.000000,94.851707,EKF,1.540810,1.821847,0.358589,0.449651,5.550256,1.914944,0.512516,0.616611,1.876296,2.152433,0.401742,0.502604,6.464601,2.284918,0.633411,0.865841,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,21.199488,23.478586,4.971799,4.779981,66.426455,22.936411,6.280931,8.003170,1.413411,2.014557,0.616484,1.009142,6.844395,1.962624,0.920436,1.085463,13.080222,0.004984,0.144444,2.549333,0.004830,0.077778,1.000000
361.500000,94.851707,EKF,1.156328,1.846182,0.503720,0.482377,5.541879,1.909080,0.537146,0.802637,1.596656,2.114627,0.563884,0.584759,6.687531,2.339442,0.761876,0.997803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.611101,21.169908,8.470238,5.714194,68.679938,24.499317,8.668937,8.062482,1.477188,2.079831,0.517263,0.696307,6.796684,2.166316,0.910660,0.970953,13.085444,0.002910,0.104478,2.554778,0.004157,0.149254,1.000000
395.500000,94.851707,EKF,0.688973,2.279304,0.427351,0.510931,5.928138,1.713134,0.563584,1.383483,0.872710,2.465171,0.496205,0.675839,7.133157,2.118645,0.862027,1.697783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.875649,23.137508,6.280274,5.273120,62.830209,19.930398,7.176521,14.948855,1.512999,2.195662,0.472539,0.584362,6.900978,2.263769,0.795274,1.147906,13.087000,0.000000,0.000000,2.557000,0.000000,0.000000,1.000000
423.000000,94.851707,EKF,1.023845,1.797122,0.322945,0.607463,5.313009,1.852965,0.513145,1.265187,1.229595,2.105913,0.371602,0.799748,6.208070,2.253877,0.694239,1.757337,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13.768755,22.271391,4.424917,8.624046,61.025858,24.929545,6.303540,16.181585,1.279086,2.244644,0.483337,0.671535,6.712158,2.222000,0.742807,1.437732,13.073667,0.011926,-0.444444,2.573111,0.014410,0.537037,1.000000
